date,close,volume,open,high,low
2023-08-31,43.368,38029540,43.123,43.715,43.123
2023-09-01,43.988,47933790,43.7725,44.55,43.593
2023-09-05,44.868,61558650,43.839,45.345,43.8
2023-09-06,44.576,38622740,44.861,45.139,44.049
2023-09-07,44.314,29226760,44.115,44.46,43.67
2023-09-08,44.28,27043530,44.356,44.681,43.885
2023-09-11,44.536,29137670,44.307,44.989,44.275
2023-09-12,43.469,31240240,44.285,44.544,43.412
2023-09-13,41.224,118430300,43.55,43.84,41.069
2023-09-14,40.049,107090400,41.04,41.139,40.0
2023-09-15,39.694,91167450,40.1,40.47,39.503
2023-09-18,39.44,47047060,39.55,39.9465,39.26
2023-09-19,39.62,40800540,39.284,39.823,39.0245
2023-09-20,38.63,38666190,39.705,39.7985,38.612
2023-09-21,38.415,55563880,38.65,39.59,38.342
2023-09-22,37.981,36997960,38.5,38.688,37.836
2023-09-25,38.48,37572780,38.29,38.662,38.081
2023-09-26,37.925,40893920,38.288,38.456,37.7355
2023-09-27,37.759,38435210,38.24,38.4223,37.625
2023-09-28,37.636,43699060,37.56,37.896,37.11
2023-09-29,37.76,42052980,38.0,38.258,37.535
2023-10-02,38.033,31021010,37.748,38.4808,37.68
2023-10-03,37.675,88781340,37.711,39.49,37.2849
2023-10-04,37.69,43036580,37.65,38.022,37.358
2023-10-05,37.259,50347730,37.801,37.86,36.724
2023-10-06,38.151,47781180,36.843,38.252,36.777
2023-10-09,38.595,32998020,37.805,38.717,37.7755
2023-10-10,37.332,72889390,38.558,38.87,37.225
2023-10-11,36.593,91513950,37.2775,37.781,36.534
2023-10-12,36.12,73760860,36.648,36.883,35.905
2023-10-13,35.568,63163200,35.564,35.893,35.205
2023-10-16,36.082,51289470,35.621,36.308,35.477
2023-10-17,35.572,59084120,36.11,36.2705,35.389
2023-10-18,34.619,114296400,35.1,35.479,34.473
2023-10-19,40.177,280744200,40.474,40.895,39.226
2023-10-20,40.096,127829200,40.563,41.064,39.801
2023-10-23,40.684,73900320,40.332,40.754,39.852
2023-10-24,41.373,64592470,40.968,41.669,40.839
2023-10-25,41.125,62995870,41.602,41.884,41.011
2023-10-26,40.354,68497020,41.142,41.731,40.1544
2023-10-27,39.787,49976120,40.642,41.021,39.562
2023-10-30,41.008,53171470,40.235,41.282,39.941
2023-10-31,41.169,38776230,40.924,41.252,40.463
2023-11-01,42.019,48061080,41.477,42.06,41.418
2023-11-02,42.471,44759840,42.117,42.669,41.71
